,Unnamed: 0,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
134,134,2002 Harley-Davidson® FLSTF - Softail® Fat Boy®,,,,,,,,,6999,2002,Dallas,Harley Davidson
135,135,2002 Honda Shadow 750,,,,,,,,,2800,2002,Houston,Honda
136,136,2002 Honda Shadow 750 Spirit - VT750DC,,,,,,,,,3099,2002,Dallas,Honda
137,137,2002 Honda vtx1800,gas,41000,,clean,manual,,,touring,4000,2002,Amarillo,Honda
138,138,2002 Yamaha R6 Runs and Drives,,,,,,,,,2000,2002,Corpus Christi,Yamaha
139,139,2002 harley davidson sportster,gas,22000,custom,clean,manual,excellent,1200,cruiser,4000,2002,Corpus Christi,Harley Davidson
140,140,2003 *Harley-Davidson* *FLHRSEI* *Screamin'* *Egl* *Rd*,other,41380,,clean,manual,,,,11752,2003,Abilene,Harley Davidson
141,141,2003 *Harley-Davidson* *Heritage* *Softail* *Classic* *FLSTI*,other,52958,black,clean,manual,,,,7991,2003,Abilene,Harley Davidson
142,142,2003 HARLEY ULTRA CLASSIC 100th Anniversary FLHTCUI - Collector Ultra,,,,,,,,,8800,2003,Amarillo,Harley Davidson
143,143,2003 Harley Davidson,gas,26425,,clean,other,,,,15,2003,Mcallen,Harley Davidson
144,144,2003 Harley Davidson  100 year anniversary addition,,,,,,,,,12000,2003,Houston,Harley Davidson
145,145,2003 Harley Davidson Electra Glide,,,,,,,,,7000,2003,San Antonio,Harley Davidson
146,146,2003 Harley Davidson Electra glide,gas,42000,,,automatic,good,,,5000,2003,Houston,Harley Davidson
147,147,2003 Harley Davidson Roadking,gas,10149,red,clean,manual,excellent,88,touring,12000,2003,Houston,Harley Davidson
148,148,2003 Harley Davidson Ultra-Classic,gas,25343,black,clean,manual,excellent,1450,touring,9800,2003,Dallas,Harley Davidson
149,149,2003 Harley Davidson XLH 883 Custom,gas,30000,blue,clean,manual,good,883,sport touring,5000,2003,Dallas,Harley Davidson
150,150,2003 Harley Davidson heritage Softail classic,gas,30,black,clean,manual,good,1400,cruiser,6500,2003,San Antonio,Harley Davidson
151,151,2003 Harley Road King,gas,21000,,clean,manual,,135,,25000,2003,Houston,Harley Davidson
152,152,2003 Harley electric glide 100 year anniversary addition,gas,10000,silver,salvage,manual,good,,cruiser,7000,2003,Dallas,Harley Davidson
153,153,2003 Harley-Davidson FXST,gas,26425,,clean,other,,,,9332,2003,Corpus Christi,Harley Davidson
154,154,2003 Harley-Davidson® XL1200C - Sportster® 1200 Custom 100th,,,,,,,,,4950,2003,San Antonio,Harley Davidson
155,155,2003 Honda CR 125 (2 Stroke),gas,Unknown,,,manual,excellent,125,dirtbike,3000,2003,Brownsville,Honda
156,156,2003 Honda Goldwing Low miles,,,,,,,,,9500,2003,Dallas,Honda
157,157,2003 Honda VFR800 Interceptor,gas,19547,red,clean,manual,excellent,800,sport touring,4500,2003,Austin,Honda
158,158,2003 Kawasaki EX250 Ninja,gas,25000,yellow,clean,manual,excellent,250,sport bike,2250,2003,Austin,Kawasaki
159,159,2003 Suzuki 800 Maurader,gas,8600,grey,clean,manual,excellent,800,cruiser,3000,2003,Mcallen,Suzuki
160,160,2003 Suzuki INTRUDER VL1500 COBRA pipes (theft recovery),gas,odometer broken,,,manual,,,,950,2003,San Antonio,Suzuki
